"72","Snacks",,"2","1","2"
"75","Bebidas & Mixers",,"3","1","3"
"81","Regalos",,"4","1","4"
"84","Especiales",,"5","0","5"
"73","Aperitivos & Cordiales",,"8","1","8"
"122","Aguardiente","<p>AGUARDIENTE, GRAPA, GRAPPA</p>","9","1","9"
"46","Champaña & Espumantes",,"10","1","10"
"71","Cremas & Cocteleras",,"11","1","11"
"70","Pisco","<p>PISCO</p>","12","1","12"
"47","Gin","<p>GIN-GINEBRA</p>","13","1","13"
"40","Coñac & Brandy","<p>COGNAC, BRANDY</p>","14","1","14"
"45","Cerveza & RTD",,"15","1","15"
"44","Vino","<p>VINOS, VINO , JEREZ</p>","16","1","16"
"43","Vodka",,"17","1","17"
"42","Whisky","<p>WHISKY</p>","18","1","18"
"41","Tequila","<p>TEQUILA, MEZCAL</p>","19","1","19"
"121","Packs",,"24","1","24"
"123","Promociones1",,"26","0","26"
"39","Ron",,"27","1","27"
"74","Secos & saborizados",,"28","1","28"
